🕘️更新时间,#genre#
CCTV5,http://bztv.tvbus.cc:8081/cdnlive/cctv5.m3u8
CCTV5,http://173.208.212.130:8181/1080p/cctv5.m3u8
CCTV5,http://112.30.73.119:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,rtmp://yftv-wshls.yzbtv.cn/live/11eec
CCTV5,http://120.76.248.139/live/bfgd/4200000064.m3u8
CCTV5,http://fn.gcl.de5.net:5908/gsh950428/641886683
CCTV5,http://120.4.126.153:1234/641886683
CCTV5,http://47.119.24.76:59093/641886683
CCTV5,http://222.134.19.49:8090/641886683
CCTV5,http://rihou.cc:555/tv/[mg]CCTV-05
CCTV5,http://139.155.89.87:1000/641886683
CCTV5,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8
CCTV5,http://182.61.15.47:80/641886683
CCTV5,http://110.154.192.81:7788/641886683
CCTV5,http://111.231.6.102:1234/641886683
CCTV5,http://117.63.79.182:1234/641886683
CCTV5,http://114.254.38.234:8888/rtp/239.3.1.173:8001$北京联通11
CCTV5+,http://38.75.136.137:98/gslb/dsdqbv/cctv5p.m3u8?auth=test20251009
CCTV5+,http://223.78.65.165:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://120.76.248.139/live/bfgd/4200000246.m3u8
CCTV5+,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225603/index.m3u8
CCTV5+,https://smart.pendy.dpdns.org/Smart.php?id=cctv5plus
CCTV5+,http://[2409:8087:1a0a:df::404b]/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225603/index.m3u8
CCTV5+,http://112.27.235.94:8000/hls/6/index.m3u8$LR•12•IPV4『线路1』
CCTV5+,http://43.251.226.89:8080/play/6.m3u8$LR•12•IPV4『线路2』
CCTV5+,https://smart.pendy.dpdns.org/Smart.php?id=cctv5plus$LR•12•IPV4『线路9』
CCTV5+,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8$LR•12•IPV6『线路11』
CCTV5+,http://[2409:8087:1a0a:df::404b]/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225603/index.m3u8$LR•12•IPV6『线路12』
CCTV5+,http://120.211.62.180:8000/hls/18/index.m3u8
CCTV5+,http://222.169.85.8:9901/tsfile/live/0116_1.m3u8
CCTV5+,http://107.150.60.122/live/cctv5p.m3u8
CCTV5+,http://221.7.175.154:8445/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0$å¹¿è¥¿åæµ·èé
CCTV5+,http://smartzhu.cn:1234/641886773
CCTV5+,http://chen.ccwu.cc:1234/641886773
CCTV5+,http://2280.eu.org:1234/641886773
CCTV5+,http://38.75.136.137:98/gslb/dsdqpub/cctv5p.m3u8?auth=testpub
